,0
temp_max_lag1,0.33541793
temp_max,0.28892422
temp_mean_roll3_mean,0.11094458
temp_mean,0.058877084
temp_max_lag2,0.012382272
temp_max_lag3,0.008478408
temp_max_lag7,0.007897012
humidity_max,0.006795255
humidity_mean_roll3_mean,0.006066868
humidity_mean,0.0057788724
temp_mean_roll14_mean,0.0056751748
temp_range,0.0045627444
cloud_mean,0.0044003683
humidity_mean_roll7_mean,0.0039208937
radiation_sum,0.003480417
doy_sin,0.0032310926
month_cos,0.0030203213
precip_sum,0.0026825964
temp_mean_roll7_mean,0.0026455102
pressure_mean_roll14_mean,0.002643646
temp_mean_roll14_std,0.002505884
humidity_mean_roll14_mean,0.0025027723
temp_min_lag3,0.0024720142
dewpoint_mean,0.0024079338
precip_sum_roll14_std,0.0023975433
precip_sum_roll3_std,0.0023720623
temp_mean_lag7,0.0023262973
temp_mean_lag2,0.0022491803
doy_cos,0.002163469
wind_mean_roll14_std,0.0021432976
humidity_mean_lag1,0.0021316214
temp_mean_lag3,0.0020988376
temp_mean_lag14,0.002085152
wind_mean_roll14_mean,0.0020614977
temp_max_lag14,0.0020567283
humidity_mean_roll14_std,0.0019876491
wind_mean_roll3_mean,0.0019874438
temp_mean_roll3_std,0.0019500314
pressure_mean_roll7_mean,0.0019257243
humidity_mean_lag2,0.0019228047
humidity_mean_roll3_std,0.0019039632
pressure_mean_roll3_mean,0.0018785218
pressure_mean_lag1,0.0018445053
pressure_mean_lag14,0.0018003432
wind_mean_lag1,0.0017942352
precip_sum_roll3_mean,0.0017880906
pressure_mean_lag2,0.001772657
pressure_mean,0.0017678457
pressure_trend_3d,0.0017662118
humidity_mean_roll7_std,0.0017391687
precip_sum_roll7_mean,0.0017129371
temp_min,0.0016914627
wind_max,0.0016883891
wind_mean,0.0016858178
temp_min_lag14,0.0016658906
precip_sum_roll7_std,0.0016621194
humidity_mean_lag7,0.0016543281
precip_sum_lag1,0.0016532519
wind_mean_roll3_std,0.0016499963
humidity_mean_lag14,0.0016444369
temp_mean_lag1,0.0016403736
cloud_mean_lag1,0.0016349478
wind_mean_roll7_mean,0.0015771441
cloud_mean_lag14,0.0015676682
temp_min_lag1,0.0015520394
cloud_mean_lag2,0.0015373231
pressure_mean_lag7,0.0015241576
temp_mean_roll7_std,0.0015213023
temp_min_lag2,0.0014882399
month_sin,0.0014832607
humidity_mean_lag3,0.0014812264
wind_mean_lag3,0.0014801654
precip_sum_lag3,0.0014460745
wind_mean_lag7,0.0014405276
wind_mean_lag2,0.0014240606
cloud_mean_lag3,0.0014007945
pressure_mean_roll14_std,0.0013837134
pressure_range,0.0013762474
precip_sum_lag14,0.0013684653
wind_mean_lag14,0.0013575011
temp_min_lag7,0.0013363041
precip_sum_roll14_mean,0.0013328735
cloud_mean_lag7,0.001311765
precip_sum_lag7,0.0013086385
pressure_mean_roll3_std,0.0012839986
pressure_mean_roll7_std,0.00127852
wind_mean_roll7_std,0.0012536977
pressure_mean_lag3,0.00124322
dow_cos,0.001238769
precip_sum_lag2,0.0012084417
dow_sin,0.0011812418
